"","Date","Open","High","Low","Close","Volume","Adjusted Close"
"1",2015-08-21,58.35,58.35,57.44,57.44,7200,57.44
"2",2015-08-20,59.25,59.26,58.9,58.9,17100,58.9
"3",2015-08-19,59.52,59.95,59.52,59.95,1100,59.95
"4",2015-08-18,59.59,59.59,59.3,59.3,800,59.3
"5",2015-08-17,59.83,59.85,59.63,59.85,1600,59.85
"6",2015-08-14,60.12,60.19,59.22,59.22,2000,59.22
"7",2015-08-13,60.21,60.33,60.05,60.05,6700,60.05
"8",2015-08-12,60.5,60.5,59.92,59.92,2600,59.92
"9",2015-08-11,61.12,61.12,60.7,60.7,1900,60.7
"10",2015-08-10,60.82,61.1,60.82,61.1,2700,61.1
"11",2015-08-07,61.79,61.79,60.9,60.9,1300,60.9
"12",2015-08-06,63.1,63.1,62.68,62.68,200,62.68
"13",2015-08-05,63.06,63.26,63.06,63.26,900,63.26
"14",2015-08-04,63.74,63.77,63.57,63.57,1200,63.57
"15",2015-08-03,63.32,63.56,63.23,63.56,3100,63.56
"16",2015-07-31,63.53,63.53,63.53,63.53,300,63.53
"17",2015-07-30,62.94,63.15,62.94,63.15,200,63.15
"18",2015-07-29,62.83,62.99,62.83,62.94,600,62.94
"19",2015-07-28,61.9,62.49,61.88,62.49,2700,62.49
"20",2015-07-27,61.88,62.12,61.88,62.12,1300,62.12
"21",2015-07-24,62.46,62.46,61.9,61.94,6500,61.94
"22",2015-07-23,62.31,62.34,62.21,62.27,2200,62.27
"23",2015-07-22,63.44,63.44,62.85,62.85,1300,62.85
"24",2015-07-21,63.6,63.71,63.53,63.71,1000,63.71
"25",2015-07-20,63.18,63.52,63.18,63.52,1200,63.52
"26",2015-07-17,63.2,63.36,63.2,63.36,300,63.36
"27",2015-07-16,63.33,63.4,63.33,63.4,1000,63.4
"28",2015-07-15,62.3,62.93,62.3,62.93,900,62.93
"29",2015-07-14,62.44,62.44,62.05,62.12,1200,62.12
"30",2015-07-13,61.3,61.3,61.3,61.3,300,61.3
"31",2015-07-10,61.86,61.86,61.5,61.5,100,61.5
"32",2015-07-09,60.83,61.25,60.42,61.12,800,61.12
"33",2015-07-08,61.93,61.93,61.22,61.22,0,61.22
"34",2015-07-06,60.97,61.1,60.69,61.04,1500,61.04
"35",2015-07-03,61.77,61.89,61.5,61.89,1400,61.89
"36",2015-07-02,61.97,62.47,61.8,62.47,5000,62.47
"37",2015-07-01,61.42,61.42,61.23,61.23,1000,61.23
"38",2015-06-30,61.1,61.42,61.1,61.22,1000,61.22
"39",2015-06-29,62,62,61.22,61.22,1700,61.22
"40",2015-06-26,62.51,62.67,62.51,62.61,10000,62.61
