"","Date","Open","High","Low","Close","Volume","Adjusted Close"
"41",2015-06-25,63.6,63.6,63.55,63.55,300,63.55
"42",2015-06-24,64.03,64.03,64.03,64.03,900,64.03
"43",2015-06-23,62.86,63.75,62.86,63.74,900,63.74
"44",2015-06-22,62.64,62.86,62.52,62.86,1900,62.86
"45",2015-06-19,62.9,62.9,62.55,62.55,700,62.55
"46",2015-06-18,62.21,62.21,61.77,61.77,2100,61.77
"47",2015-06-17,62.58,62.79,62.53,62.75,1700,62.75
"48",2015-06-16,62,62.18,62,62,2700,62
"49",2015-06-15,61.19,61.79,61.19,61.79,3000,61.79
"50",2015-06-12,61.86,61.86,61.76,61.8,700,61.8
"51",2015-06-11,61.7,61.99,61.7,61.99,400,61.99
"52",2015-06-10,61.37,61.37,60.91,61.03,1600,61.03
"53",2015-06-09,61.5,61.68,61.2,61.2,5400,61.2
"54",2015-06-05,61.5,61.5,61.1,61.1,10500,61.1
"55",2015-06-04,62.35,62.35,61.64,61.64,600,61.64
"56",2015-06-03,62.6,62.64,62.29,62.35,1000,62.35
"57",2015-06-02,63.85,63.85,63,63.12,2100,63.12
"58",2015-06-01,64.11,64.11,63.82,63.82,0,63.82
"59",2015-05-29,64.44,64.72,64.44,64.72,2800,64.72
"60",2015-05-28,63.97,63.97,63.53,63.67,3000,63.67
"61",2015-05-27,64,64.18,63.81,63.81,300,63.81
"62",2015-05-26,64.28,64.28,64.28,64.28,500,64.28
"63",2015-05-25,63.12,63.82,63.12,63.82,400,63.82
"64",2015-05-22,63.45,63.48,63.06,63.12,2800,63.12
"65",2015-05-21,63.14,63.14,63.06,63.11,1900,63.11
"66",2015-05-20,62.97,62.97,62.49,62.74,5900,62.74
"67",2015-05-19,63.4,63.4,62.92,62.92,3100,62.92
"68",2015-05-18,64.3,64.31,63.45,63.45,700,63.45
"69",2015-05-15,64.58,64.58,64.2,64.2,100,64.2
"70",2015-05-14,63.59,63.68,63.4,63.64,8900,63.64
"71",2015-05-13,63.76,63.99,63.76,63.99,3000,63.99
"72",2015-05-12,62.84,63.2,62.84,63.2,800,63.2
"73",2015-05-11,62.95,63.01,62.95,63,1100,63
"74",2015-05-08,63.55,63.55,63.49,63.51,700,63.51
"75",2015-05-07,62.81,63.27,62.8,63.27,4000,63.27
"76",2015-05-06,64.5,64.5,63.93,63.93,200,63.93
"77",2015-05-05,65.63,65.88,65.22,65.22,1500,65.22
"78",2015-05-04,64.92,65.22,64.92,65.1,1800,65.1
"79",2015-05-01,64.93,65.3,64.93,65.3,1400,65.3
"80",2015-04-30,64.83,64.83,64.49,64.57,1000,64.57
"81",2015-04-29,66.07,66.07,65.6,65.6,200,65.6
"82",2015-04-28,66.97,66.97,66.85,66.85,300,66.85
"83",2015-04-27,66.6,67.1,66.6,67.09,5300,67.09
"84",2015-04-24,66.24,66.52,66.24,66.46,800,66.46
"85",2015-04-23,65.42,65.46,65.35,65.4,1700,65.4
"86",2015-04-22,66.03,66.03,65.27,65.27,3100,65.27
"87",2015-04-21,66.15,66.15,65.87,65.87,1000,65.87
"88",2015-04-20,65.8,65.8,65.3,65.44,600,65.44
"89",2015-04-17,66.37,66.37,65.79,65.79,2100,65.79
"90",2015-04-16,66.69,66.76,66.63,66.67,1400,66.67
"91",2015-04-15,67.11,67.11,66.24,66.24,10000,66.24
"92",2015-04-14,66.85,66.85,66.75,66.79,100,66.79
"93",2015-04-10,66.81,66.85,66.81,66.85,200,66.85
"94",2015-04-09,66.99,66.99,66.99,66.99,300,66.99
"95",2015-04-08,67.35,67.35,66.88,66.88,4300,66.88
"96",2015-04-07,67.2,67.2,66.45,66.45,3200,66.45
"97",2015-04-02,66.27,66.28,66.18,66.28,1300,66.28
"98",2015-04-01,66.1,66.14,65.77,65.77,1100,65.77
"99",2015-03-31,67.17,67.18,67,67,10500,66.53
"100",2015-03-30,66.28,66.38,66.28,66.38,2100,65.92
"101",2015-03-27,67.01,67.01,67.01,67.01,0,66.54
"102",2015-03-26,67,67,66.93,66.93,500,66.46
"103",2015-03-25,67.74,67.77,67.73,67.73,100,67.26
"104",2015-03-24,67.37,67.71,67.37,67.67,200,67.2
"105",2015-03-23,68,68,67.64,67.79,1300,67.32
"106",2015-03-20,67.56,67.66,67.4,67.66,2900,67.19
"107",2015-03-19,67.23,67.23,67.23,67.23,0,66.76
"108",2015-03-18,66.13,66.13,66.08,66.08,100,65.62
"109",2015-03-17,65.7,66.27,65.7,66.13,800,65.67
"110",2015-03-16,65.48,65.48,65.08,65.26,900,64.81
"111",2015-03-13,65.53,65.56,65.5,65.56,900,65.1
"112",2015-03-10,65.85,65.85,65.85,65.85,0,65.39
"113",2015-03-09,66.09,66.09,65.57,65.57,1400,65.11
"114",2015-03-06,66.6,66.6,66.17,66.29,800,65.83
"115",2015-03-05,66.33,66.52,66.26,66.52,600,66.06
"116",2015-03-04,66.76,66.76,66.64,66.64,1800,66.18
"117",2015-03-03,67.61,67.61,67,67,24400,66.53
"118",2015-03-02,67.31,67.31,67.21,67.26,900,66.79
"119",2015-02-27,66.39,66.84,66.39,66.84,1300,66.38
"120",2015-02-26,66.83,66.83,66.55,66.55,1700,66.09
"121",2015-02-24,66.2,66.66,66.2,66.51,1400,66.05
"122",2015-02-23,66.01,66.42,66.01,66.4,1200,65.94
"123",2015-02-20,66.25,66.25,66.12,66.12,900,65.66
"124",2015-02-19,66.35,66.35,66.26,66.26,400,65.8
"125",2015-02-18,65.87,66.43,65.87,66.41,500,65.95
"126",2015-02-16,65.97,66.09,65.97,66.09,400,65.63
"127",2015-02-13,65.38,65.73,65.38,65.72,8800,65.26
"128",2015-02-12,64.32,64.32,64.26,64.26,1200,63.81
"129",2015-02-11,64.5,64.58,64.5,64.58,3100,64.13
"130",2015-02-10,64.85,65.01,64.85,64.96,17400,64.51
"131",2015-02-06,65.54,65.54,65.38,65.38,2500,64.93
"132",2015-02-05,64.65,65.29,64.65,65.29,2000,64.84
"133",2015-02-04,64.82,64.84,64.51,64.74,1800,64.29
"134",2015-02-03,63.75,64.1,63.75,64.1,200,63.65
"135",2015-02-02,63.08,63.21,63.05,63.14,900,62.7
"136",2015-01-30,62.86,62.86,62.86,62.86,1100,62.42
"137",2015-01-29,62.06,62.46,62.06,62.46,2000,62.03
"138",2015-01-28,61.91,62.15,61.91,61.98,500,61.55
"139",2015-01-27,61.71,62.06,61.71,62.06,1500,61.63
"140",2015-01-23,61.36,61.51,61.36,61.51,300,61.08
"141",2015-01-22,60.81,60.81,60.75,60.75,300,60.33
"142",2015-01-21,60.27,60.27,60.27,60.27,3900,59.85
"143",2015-01-16,59.4,59.4,59.24,59.24,400,58.83
"144",2015-01-14,60.36,60.36,59.94,59.94,3100,59.52
"145",2015-01-13,60.27,60.47,60.27,60.47,1200,60.05
"146",2015-01-12,60.8,60.8,60.68,60.73,1100,60.31
"147",2015-01-09,60.77,61.11,60.77,61.11,6800,60.69
"148",2015-01-07,60.06,60.06,60,60,1200,59.58
"149",2015-01-06,60.47,60.47,59.77,59.77,1700,59.35
"150",2015-01-05,61.19,61.19,60.88,60.9,4600,60.48
"151",2015-01-02,60.72,60.96,60.72,60.96,200,60.54
"152",2014-12-30,62.23,62.23,61.91,61.91,400,60.61
"153",2014-12-24,61.06,61.28,61.06,61.28,0,59.99
"154",2014-12-22,61.55,61.55,61.55,61.55,800,60.26
"155",2014-12-19,60.06,60.55,60.06,60.55,400,59.28
"156",2014-12-18,59.42,59.5,59.18,59.24,10200,57.99
"157",2014-12-17,58.94,58.96,58.91,58.96,2200,57.72
"158",2014-12-16,58.76,58.76,58.55,58.57,2500,57.34
"159",2014-12-15,59.2,59.23,58.64,59.23,3100,57.98
"160",2014-12-12,59.3,59.53,59.3,59.45,1400,58.2
"161",2014-12-11,59.46,59.59,59.25,59.53,7000,58.28
"162",2014-12-10,59.83,59.88,59.66,59.88,700,58.62
"163",2014-12-09,60.89,60.89,60.28,60.28,26400,59.01
"164",2014-12-08,61.46,61.46,61.22,61.22,0,59.93
"165",2014-12-05,60.82,60.82,60.61,60.62,2100,59.34
"166",2014-12-04,61.05,61.07,60.94,60.94,4700,59.66
"167",2014-12-03,60.28,60.65,60.28,60.6,3500,59.33
"168",2014-12-02,59.75,60.36,59.64,60.36,1900,59.09
"169",2014-12-01,60.2,60.2,59.5,59.5,3500,58.25
"170",2014-11-28,61.45,61.45,60.73,60.73,4200,59.45
"171",2014-11-27,61.67,61.68,61.56,61.56,300,60.26
"172",2014-11-26,61.42,61.53,61.35,61.35,3800,60.06
"173",2014-11-25,60.7,60.7,60.67,60.68,7700,59.4
"174",2014-11-24,61.14,61.14,61.09,61.14,3800,59.85
"175",2014-11-21,60.6,60.6,60.42,60.56,2700,59.29
"176",2014-11-18,61.79,61.79,61.77,61.77,0,60.47
"177",2014-11-17,62.1,62.1,61.67,61.67,2100,60.37
"178",2014-11-13,62.62,62.62,62,62.14,800,60.83
"179",2014-11-12,62.63,62.66,62.48,62.48,2900,61.17
"180",2014-11-11,63,63.01,62.9,62.9,5100,61.58
"181",2014-11-10,62.96,63.14,62.96,63.14,700,61.81
"182",2014-11-07,63.11,63.11,63.11,63.11,700,61.78
"183",2014-11-06,62.78,62.78,62.59,62.59,2500,61.27
"184",2014-11-05,62.41,62.41,62.41,62.41,0,61.1
"185",2014-11-04,62.56,62.56,62.56,62.56,200,61.24
"186",2014-11-03,62.66,62.66,62.55,62.57,4300,61.25
"187",2014-10-31,62.56,62.6,62.45,62.54,25800,61.22
"188",2014-10-30,62.3,62.3,62.3,62.3,2400,60.99
"189",2014-10-28,61.78,62,61.78,62,200,60.7
"190",2014-10-27,61.84,62.06,61.84,62.06,1100,60.75
"191",2014-10-24,61.48,61.53,61.3,61.3,1400,60.01
"192",2014-10-23,61.17,61.2,61.1,61.2,10700,59.91
"193",2014-10-22,61.12,61.12,61.01,61.08,1500,59.79
"194",2014-10-21,60.6,60.7,60.5,60.5,7300,59.23
"195",2014-10-20,60.78,60.78,60.57,60.57,1600,59.3
"196",2014-10-16,58.92,59.78,58.92,59.53,1000,58.28
"197",2014-10-15,59.53,59.6,59.29,59.6,1100,58.35
"198",2014-10-14,59.03,59.13,59.03,59.1,600,57.86
"199",2014-10-10,59.27,59.27,59,59,1100,57.76
"200",2014-10-09,59.9,60.28,59.9,60.19,5000,58.92
"201",2014-10-08,59.09,59.32,59.09,59.32,600,58.07
"202",2014-10-07,59.71,60,59.22,60,2000,58.74
"203",2014-10-06,60.67,60.67,60,60,900,58.74
"204",2014-10-03,59.94,60.63,59.94,60.63,1100,59.35
"205",2014-10-02,60.05,60.05,59.91,59.91,1600,58.65
"206",2014-10-01,60.06,60.29,60.06,60.29,0,59.02
"207",2014-09-30,60.17,60.39,60.17,60.39,1200,58.49
"208",2014-09-29,60.63,60.63,60.4,60.4,700,58.5
"209",2014-09-26,61.25,61.25,60.8,60.8,4600,58.88
"210",2014-09-25,61.7,61.7,61.59,61.61,4200,59.67
"211",2014-09-24,61.64,61.64,61.35,61.53,1600,59.59
"212",2014-09-23,61.15,61.83,61.06,61.83,52900,59.88
"213",2014-09-22,62,62.01,61.26,61.26,11300,59.33
"214",2014-09-19,62.2,62.21,62.2,62.21,300,60.25
"215",2014-09-18,62.09,62.09,61.6,61.88,4500,59.93
"216",2014-09-17,62.55,62.55,62,62,900,60.05
"217",2014-09-16,63.11,63.11,62.47,62.48,12200,60.51
"218",2014-09-15,63.28,63.28,62.84,62.88,6000,60.9
"219",2014-09-12,63.29,63.39,63.2,63.2,2400,61.21
"220",2014-09-11,63.92,63.92,63.92,63.92,0,61.91
"221",2014-09-10,64.13,64.13,63.75,63.85,4200,61.84
"222",2014-09-08,63.75,63.75,63.73,63.73,400,61.72
"223",2014-09-03,64.63,64.69,64.63,64.69,400,62.65
"224",2014-09-02,64.2,64.28,64.07,64.28,1400,62.25
"225",2014-09-01,64.29,64.29,64.17,64.17,300,62.15
"226",2014-08-29,64.09,64.09,64,64,1000,61.98
"227",2014-08-28,64.15,64.15,64.15,64.15,1400,62.13
"228",2014-08-27,64.17,64.3,64.17,64.3,300,62.27
"229",2014-08-26,64.14,64.14,63.96,64.01,2600,61.99
"230",2014-08-25,64.13,64.13,63.89,63.96,5500,61.94
"231",2014-08-21,64.17,64.17,64.17,64.17,100,62.15
"232",2014-08-20,63.8,64.09,63.8,64.09,300,62.07
"233",2014-08-19,63.75,63.9,63.75,63.9,600,61.89
"234",2014-08-18,63.16,63.25,63.16,63.25,2000,61.26
"235",2014-08-15,63,63.2,62.97,63.2,25400,61.21
"236",2014-08-14,62.91,62.91,62.88,62.88,200,60.9
"237",2014-08-12,62.31,62.47,62.31,62.47,600,60.5
"238",2014-08-11,61.92,61.92,61.85,61.85,3400,59.9
"239",2014-08-08,62.03,62.1,61.38,61.38,12400,59.45
"240",2014-08-07,62.22,62.35,62.15,62.3,700,60.34
"241",2014-08-06,62.32,62.32,62.29,62.29,4200,60.33
"242",2014-08-05,62.82,62.82,62.54,62.54,200,60.57
"243",2014-08-04,62.82,62.85,62.75,62.82,6500,60.84
"244",2014-07-31,63.86,63.86,63.84,63.84,2000,61.83
"245",2014-07-29,63.13,63.34,63.13,63.34,1300,61.34
"246",2014-07-28,63.04,63.04,63.04,63.04,0,61.05
"247",2014-07-25,63.22,63.22,63.22,63.22,0,61.23
"248",2014-07-24,63.24,63.24,63.16,63.16,4000,61.17
"249",2014-07-23,63,63.32,63,63.32,2000,61.32
"250",2014-07-22,62.75,62.75,62.75,62.75,700,60.77
"251",2014-07-21,62.73,62.77,62.73,62.77,100,60.79
"252",2014-07-18,62.53,62.56,62.53,62.56,500,60.59
"253",2014-07-17,62.85,62.85,62.75,62.75,400,60.77
"254",2014-07-15,62.5,62.5,62.39,62.39,200,60.42
"255",2014-07-14,62.53,62.53,62.53,62.53,5400,60.56
"256",2014-07-11,61.91,62.33,61.91,62.09,1300,60.13
"257",2014-07-10,61.86,61.89,61.82,61.82,700,59.87
"258",2014-07-09,61.73,61.73,61.7,61.7,900,59.76
"259",2014-07-08,62.38,62.38,62.33,62.34,1900,60.38
"260",2014-07-07,62.48,62.48,62.48,62.48,0,60.51
"261",2014-07-04,62.22,62.62,62.22,62.62,1200,60.65
"262",2014-07-03,62.05,62.16,61.97,62.16,1700,60.2
"263",2014-07-02,61.41,61.58,61.41,61.58,1000,59.64
"264",2014-07-01,61.16,61.16,60.85,60.86,11800,58.94
"265",2014-06-30,61.87,61.97,61.87,61.97,1200,59.53
"266",2014-06-27,62.35,62.48,62.35,62.48,1200,60.02
"267",2014-06-26,61.8,62.15,61.8,62.15,1100,59.71
"268",2014-06-25,61.84,61.84,61.42,61.63,2500,59.21
"269",2014-06-24,61.96,61.96,61.87,61.91,12300,59.48
"270",2014-06-23,62.07,62.18,62.07,62.1,15000,59.66
"271",2014-06-20,62,62,61.85,61.85,8700,59.42
"272",2014-06-19,61.78,62.01,61.78,62.01,0,59.57
"273",2014-06-18,61.55,61.55,61.38,61.4,1800,58.99
"274",2014-06-17,61.81,61.85,61.68,61.68,3200,59.26
"275",2014-06-16,61.78,61.81,61.78,61.81,2600,59.38
"276",2014-06-13,61.59,61.73,61.5,61.73,400,59.3
"277",2014-06-12,62.08,62.09,62.07,62.09,2500,59.65
"278",2014-06-11,62.32,62.32,62.32,62.32,0,59.87
"279",2014-06-10,62.75,62.75,62.65,62.65,2200,60.19
"280",2014-06-06,62.37,62.37,62.37,62.37,0,59.92
"281",2014-06-04,62.45,62.52,62.21,62.21,8400,59.76
"282",2014-06-03,62.94,62.96,62.8,62.8,300,60.33
"283",2014-06-02,62.82,62.92,62.82,62.92,800,60.45
"284",2014-05-29,63.04,63.1,62.98,63.1,700,60.62
"285",2014-05-28,63,63.23,63,63.19,300,60.71
"286",2014-05-27,63.12,63.12,63.12,63.12,0,60.64
"287",2014-05-26,63.08,63.08,63.08,63.08,600,60.6
"288",2014-05-23,62.9,62.9,62.9,62.9,0,60.43
"289",2014-05-22,62.42,62.81,62.42,62.81,7100,60.34
"290",2014-05-21,61.5,61.5,61.5,61.5,0,59.08
"291",2014-05-19,62.15,62.15,62.15,62.15,100,59.71
"292",2014-05-16,62.77,62.79,62.77,62.79,500,60.32
"293",2014-05-15,62.62,62.67,62.62,62.67,0,60.21
"294",2014-05-14,62.72,62.84,62.72,62.84,600,60.37
"295",2014-05-13,62.5,62.5,62.5,62.5,200,60.04
"296",2014-05-12,62.25,62.25,61.94,61.94,700,59.51
"297",2014-05-09,62.14,62.26,62.14,62.26,900,59.81
"298",2014-05-08,62.02,62.02,62.02,62.02,0,59.58
"299",2014-05-07,61.72,61.72,61.62,61.66,300,59.24
"300",2014-05-06,62.22,62.22,62.22,62.22,0,59.77
"301",2014-05-05,62.23,62.23,62.23,62.23,0,59.78
"302",2014-05-02,61.9,61.98,61.86,61.98,10800,59.54
"303",2014-05-01,62.26,62.26,61.89,61.9,1100,59.47
"304",2014-04-30,62.35,62.35,62.35,62.35,1300,59.9
"305",2014-04-29,63.12,63.12,62.46,62.46,6100,60.01
"306",2014-04-28,63.03,63.1,63.03,63.1,200,60.62
"307",2014-04-24,62.77,62.77,62.77,62.77,300,60.3
"308",2014-04-23,62.52,62.52,62.52,62.52,0,60.06
"309",2014-04-17,61.91,61.91,61.91,61.91,100,59.48
"310",2014-04-16,61.64,61.65,61.64,61.65,1500,59.23
"311",2014-04-15,61.29,61.29,61.29,61.29,200,58.88
"312",2014-04-14,61.56,61.56,61.02,61.02,400,58.62
"313",2014-04-11,61.84,61.84,61.69,61.69,400,59.27
"314",2014-04-10,62.28,62.28,62.28,62.28,1000,59.83
"315",2014-04-08,61.54,61.54,61.54,61.54,200,59.12
"316",2014-04-07,61.44,61.45,61.44,61.45,400,59.03
"317",2014-04-04,61.43,61.5,61.43,61.5,1200,59.08
"318",2014-04-03,61.55,61.61,61.54,61.61,1400,59.19
"319",2014-04-02,61.27,61.31,61.27,61.31,100,58.9
"320",2014-04-01,61.02,61.32,61.02,61.32,900,58.91
"321",2014-03-31,61.89,61.89,61.79,61.79,1100,59.04
"322",2014-03-27,60.91,61.11,60.91,61.11,1500,58.39
"323",2014-03-24,60.72,60.81,60.65,60.81,10900,58.11
"324",2014-03-21,60.42,60.53,60.42,60.5,2700,57.81
"325",2014-03-20,60.83,60.83,60.31,60.31,1200,57.63
"326",2014-03-19,60.84,60.84,60.82,60.82,300,58.12
"327",2014-03-17,60.47,60.58,60.46,60.46,1400,57.77
"328",2014-03-14,60.79,60.79,60.79,60.79,100,58.09
"329",2014-03-13,61.83,61.83,61.35,61.57,1400,58.83
"330",2014-03-12,61.2,61.2,60.82,61.13,1400,58.41
"331",2014-03-11,61.44,61.44,61.44,61.44,100,58.71
"332",2014-03-10,61.34,61.34,61.34,61.34,4000,58.61
"333",2014-03-07,61.87,61.87,61.87,61.87,0,59.12
"334",2014-03-05,61.7,61.7,61.7,61.7,200,58.96
"335",2014-03-04,61.17,61.38,61.17,61.38,400,58.65
"336",2014-03-03,61.07,61.07,60.98,60.98,5600,58.27
"337",2014-02-28,61.27,61.3,61.27,61.3,300,58.58
"338",2014-02-27,61.6,61.6,61.4,61.4,200,58.67
"339",2014-02-26,61.62,61.62,61.62,61.62,400,58.88
"340",2014-02-25,61.71,61.72,61.71,61.72,600,58.98
"341",2014-02-24,61.58,61.71,61.58,61.71,1300,58.97
"342",2014-02-21,61.6,61.6,61.49,61.49,100,58.76
"343",2014-02-20,61.3,61.36,61.23,61.23,2500,58.51
"344",2014-02-19,61.17,61.26,61.17,61.19,1400,58.47
"345",2014-02-18,60.94,60.96,60.88,60.88,800,58.17
"346",2014-02-17,60.67,60.72,60.67,60.72,1200,58.02
"347",2014-02-14,60.12,60.3,60.12,60.3,1800,57.62
"348",2014-02-13,59.89,59.98,59.89,59.98,500,57.31
"349",2014-02-10,58.79,58.79,58.61,58.61,1000,56
"350",2014-02-07,58.21,58.35,58.18,58.2,4200,55.61
"351",2014-02-06,57.88,57.88,57.8,57.8,500,55.23
"352",2014-02-05,57.26,57.26,57.26,57.26,600,54.71
"353",2014-02-04,57.45,57.45,57.45,57.45,0,54.9
"354",2014-02-03,58.24,58.54,58.24,58.48,600,55.88
"355",2014-01-31,58.51,58.51,58.4,58.4,5100,55.8
"356",2014-01-30,58.4,58.56,58.4,58.56,300,55.96
"357",2014-01-29,58.66,58.66,58.5,58.65,2600,56.04
"358",2014-01-28,58.36,58.55,58.36,58.45,2000,55.85
"359",2014-01-23,59.92,59.92,59.92,59.92,0,57.26
"360",2014-01-22,59.72,59.72,59.72,59.72,500,57.07
"361",2014-01-21,59.55,60,59.54,60,900,57.33
"362",2014-01-20,59.4,59.74,59.4,59.74,1100,57.08
"363",2014-01-17,59.63,59.63,59.63,59.63,300,56.98
"364",2014-01-16,59.61,59.62,59.61,59.61,500,56.96
"365",2014-01-14,59.2,59.2,58.83,58.83,1100,56.22
"366",2014-01-13,59.63,59.67,59.63,59.66,1300,57.01
"367",2014-01-10,60.12,60.12,59.96,59.96,1500,57.29
"368",2014-01-09,59.97,59.97,59.92,59.92,700,57.26
"369",2014-01-06,60.44,60.5,60.2,60.2,5100,57.52
"370",2014-01-03,60.41,60.41,60.32,60.32,1200,57.64
"371",2014-01-02,60.92,60.92,60.92,60.92,400,58.21
"372",2013-12-30,61.25,61.25,61.25,61.25,1000,57.84
"373",2013-12-27,61.28,61.28,61.25,61.25,100,57.84
"374",2013-12-23,60.63,60.63,60.45,60.45,1200,57.08
"375",2013-12-19,58.95,58.95,58.91,58.91,3000,55.63
"376",2013-12-18,58.5,58.5,58.42,58.42,4300,55.17
"377",2013-12-17,58.52,58.64,58.22,58.22,8100,54.98
"378",2013-12-16,58.12,58.22,58.03,58.03,1900,54.8
"379",2013-12-13,57.98,57.98,57.98,57.98,0,54.75
"380",2013-12-12,58,58,58,58,0,54.77
"381",2013-12-11,59,59,58.79,58.8,12100,55.53
"382",2013-12-10,59.5,59.5,59.42,59.42,3100,56.11
"383",2013-12-09,59.35,59.35,59,59,2500,55.71
"384",2013-12-05,60.36,60.36,59.99,60.06,1300,56.72
"385",2013-12-03,60.53,60.53,60.42,60.42,900,57.06
"386",2013-12-02,61.02,61.02,60.49,60.49,3000,57.12
"387",2013-11-29,61.09,61.09,61.09,61.09,600,57.69
"388",2013-11-28,61.39,61.39,61.39,61.39,0,57.97
"389",2013-11-27,61.28,61.28,61.23,61.24,600,57.83
"390",2013-11-26,61.26,61.35,61.2,61.2,400,57.79
"391",2013-11-25,61.5,61.5,61.26,61.26,3000,57.85
"392",2013-11-22,61.21,61.21,61.21,61.21,700,57.8
"393",2013-11-21,60.64,60.64,60.64,60.64,0,57.26
"394",2013-11-20,61.13,61.14,60.86,60.86,2600,57.47
"395",2013-11-19,61.29,61.29,61.29,61.29,200,57.88
"396",2013-11-18,61.31,61.59,61.31,61.57,5700,58.14
"397",2013-11-14,61,61.22,60.98,61.22,1200,57.81
"398",2013-11-13,61.29,61.29,60.24,60.24,600,56.89
"399",2013-11-12,61.86,61.86,61.8,61.8,100,58.36
"400",2013-11-11,61.86,61.86,61.55,61.55,3400,58.12
"401",2013-11-08,61.73,61.93,61.73,61.73,7100,58.29
"402",2013-11-07,61.97,62.03,61.91,61.91,2600,58.46
"403",2013-11-06,61.67,61.82,61.59,61.82,1200,58.38
"404",2013-11-05,61.69,61.72,61.67,61.71,1200,58.27
"405",2013-11-04,61.66,61.66,61.56,61.56,400,58.13
"406",2013-10-31,61.6,61.7,61.5,61.66,6800,58.23
"407",2013-10-30,61.82,61.82,61.71,61.75,4300,58.31
"408",2013-10-29,61.76,61.76,61.69,61.69,100,58.25
"409",2013-10-28,61.79,61.86,61.79,61.86,2400,58.41
"410",2013-10-25,61.14,61.14,61.1,61.1,2400,57.7
"411",2013-10-24,61.12,61.12,60.63,60.85,1500,57.46
"412",2013-10-23,60.85,60.85,60.85,60.85,0,57.46
"413",2013-10-22,60.67,60.85,60.67,60.85,600,57.46
"414",2013-10-21,60.7,60.73,60.6,60.6,2700,57.23
"415",2013-10-18,60.03,60.15,60.03,60.15,2300,56.8
"416",2013-10-17,59.79,59.79,59.68,59.75,2300,56.42
"417",2013-10-16,59.55,59.55,59.55,59.55,200,56.23
"418",2013-10-14,58.82,58.82,58.68,58.68,100,55.41
"419",2013-10-10,57.96,57.96,57.96,57.96,1100,54.73
"420",2013-10-09,57.93,57.93,57.93,57.93,0,54.7
"421",2013-10-08,58.02,58.16,57.99,58.14,900,54.9
"422",2013-10-07,58.44,58.44,58.44,58.44,0,55.19
"423",2013-10-04,58.74,58.74,58.74,58.74,1400,55.47
"424",2013-10-03,59.29,59.29,59.29,59.29,2700,55.99
"425",2013-10-02,58.82,58.82,58.78,58.78,0,55.51
"426",2013-10-01,59,59,58.83,58.83,4700,55.55
"427",2013-09-30,60.13,60.13,59.77,59.77,1500,55.78
"428",2013-09-27,60.65,60.65,60.58,60.58,100,56.54
"429",2013-09-26,60.42,60.42,60.42,60.42,0,56.39
"430",2013-09-25,60,60.25,60,60.25,1700,56.23
"431",2013-09-24,59.82,59.93,59.82,59.93,1300,55.93
